Organization Name,Financial Institution Type,Native CDFI (Y/N),City,State,Zipcode,Address,Organization Website
Renaissance Economic Development Corporation,Loan Fund,N,New York,NY,10002--530,"2 Allen Street, 7th Floor",http://www.renaissance-ny.org/
Rende Progress Capital,Loan Fund,N,East Lansing,MI,48823--498,"2843 E. Grand River, #132",https://www.rendeprogresscapital.com/
"Resident Ownership Capital, LLC dba ROC USA Capital",Loan Fund,N,Concord,NH,03301--532,6 Loudon Road  Suite 501,http://www.rocusa.org
Rio Grande Valley Multibank Corporation,Loan Fund,N,Brownsville,TX,78520--516,901 East Levee,www.rgvmultibank.com
Ripple Effect Entrepreneurs Fund,Loan Fund,N,Lakewood,NJ,08701,"1750 Cedarbridge Avenue
Suite 3",www.njreef.org
Rising Tide Community Loan Fund,Loan Fund,N,Bethlehem,PA,18015--210,1337 E 5th St.,www.therisingtide.org
River City Capital Investment Corporation,Loan Fund,N,Memphis,TN,38103--222,119 Court  Suite 100,http://rivercitycapital.org/
Rockford Community Investment Fund,Loan Fund,N,Rockford,IL,61101,"120 W. State St., 306",Non given
Rockingham Economic Development Corp,Loan Fund,N,Raymond,NH,03077--232,57 Main Street,http://www.redc.com
Rocky Mountain Community Reinvestment Corporation,Loan Fund,N,Salt Lake City,UT,84107,64 East Winchester Street Suite 330,www.rmcrc.org
Rocky Mountain MicroFinance Institute,Loan Fund,N,Denver,CO,80204--813,PO Box 48138,http://www.rmmfi.org
Rural Community Assistance Corporation,Loan Fund,N,West Sacramento,CA,95691--501,3120 Freeboard Drive  Suite 201,www.rcac.org
"Rural Electric Economic Development, Inc.",Loan Fund,N,Madison,SD,57042--022,211 South Harth Avenue  PO Box 227,http://reedfund.coop
Rural Nevada Development Corporation,Loan Fund,N,Ely,NV,89301--164,1320 E Aultman Street,http://www.rndcnv.org
"Rutland West Neighborhood Housing Services, Inc.",Loan Fund,N,West Rutland,VT,05777--044,110 Marble St,nwwvt.org
Sabre Finance d/b/a VentureSouth,Loan Fund,N,Birmingham,AL,35203--186,"2 20th Street North, Suite 1150",http://www.sabrefinance.org
"Sacramento Neighborhood Housing Services, Inc.",Loan Fund,N,Sacramento,CA,95817--310,"2411 Alhambra Blvd, Ste. 200",http://www.nwsacramento.org
Salas & Company,Loan Fund,N,Los Angeles,CA,90014--225,"309 E 8th Street
Suite 601",https://www.caminofinancial.com/
"Salt Lake Neighborhood Housing Services, Inc.",Loan Fund,N,Salt Lake,UT,84116,622 West 500 North,www.nwsaltlake.org
Salt River Financial Services Institution,Loan Fund,Y,Scottsdale,AZ,85256,10005 E Osborn Rd,http://www.srfsi.com
San Carlos Apache Tribe Relending Enterprise,Loan Fund,Y,Peridot,AZ,85542--079,P.O. Box 790,Not Available
"San Francisco Housing Accelerator Fund, The",Loan Fund,N,San Francisco,CA,94104,"564 Market St, Suite 225",www.sfhaf.org
San Luis Obispo County Housing Trust Fund,Loan Fund,N,San Luis Obispo,CA,93401--731,"71 Zaca Lane, Suite 130",http://www.slochtf.org
Santa Fe Community Housing Trust,Loan Fund,N,Santa Fe,NM,87592,PO Box 29237,www.housingtrustonline.org
Seattle Economic Development Fund d/b/a Business Impact NW (BIN),Loan Fund,N,Tukwila,WA,98168,"12720 Gateway Dr, Suite 207",www.businessimpactnw.org
Self-Help Ventures Fund,Loan Fund,N,Durham,NC,27702--361,P.O. Box 3619,www.self-help.org
Seneca Nation of Indians Economic Development Company,Loan Fund,Y,Salamanca,NY,14779--159,90 Ohi:yo Way  PO Box 437,http://www.sniedc.org
"Sequoyah Fund Inc., The",Loan Fund,Y,Cherokee,NC,28719--120,PO Box 1200,http://www.sequoyahfund.org
Shared Capital Cooperative,Loan Fund,N,Saint Paul,MN,55114--176,"2388 University Ave W, Suite 300",www.sharedcapital.coop
Small Business Assistance Corporation,Loan Fund,N,Savannah,GA,31401--449,"111. E. Liberty Street, suite 100",www.sbacsav.com
SNAP Financial Access,Loan Fund,N,Spokane,WA,99224--520,3102 W. Whistalks Way,https://snapfinancialaccess.org/
Solar and Energy Loan Fund of St. Lucie County Inc.,Loan Fund,N,Fort Pierce,FL,34950--485,2400 Rhode Island Avenue,http://solarenergyloanfund.org
"Solitas House, Inc.",Loan Fund,N,Tampa,FL,33680,PO Box 310257,www.solitashouse.com
South Carolina Community Loan Fund,Loan Fund,N,Charleston,SC,29407--574,1051-A Gardner Road,http://www.sccommunityloanfund.org
South Eastern Development Foundation,Loan Fund,N,Sioux Falls,SD,57104--201,500 N Western Avenue  Suite 100,http://www.secog.org
South Eastern Economic Development Corporation,Loan Fund,N,Taunton,MA,02780--271,80 Dean Street,http://www.seedcorp.com
Southeast Community Capital Corporation DBA Pathway Lending,Loan Fund,N,Nashville,TN,37228--160,201 Venture Circle,www.pathwaylending.org
SOUTHEAST KENTUCKY ECONOMIC DEVELOPMENT CORPORATION INC,Loan Fund,N,SOMERSET,KY,42501--290,2292 SOUTH HIGHWAY 27,https://skedcorp.com
"Southeast Rural Community Assistance Project, Inc.",Loan Fund,N,Roanoke,VA,24016--362,347 Campbell Avenue,http://www.sercap.org
Southern Bancorp Capital Partners,Loan Fund,N,Little Rock,AR,72211--350,"400 Hardin Road, Suite 100",www.southernpartners.org
Southern Colorado Community Lending LLC,Loan Fund,N,Pueblo,CO,81004,1241 E Routt Ave.,Non given
Southern Maine Finance Agency,Loan Fund,N,Biddeford,ME,04005--945,"20 Pomerleau Street, Ste 300",www.smfamaine.org
"Southern Mutual Financial Services, Inc.",Loan Fund,N,New Iberia,LA,70563--313,3602 Old Jeanerette Road,www.southernmutualhelp.org
"Southwest Georgia United Empowerment Zone, Inc.",Loan Fund,N,Cordele,GA,31015--421,123 South 7th Street,www.swgau.org
Springboard CDFI,Loan Fund,N,National City,CA,91950,"2140 Hoover Avenue, Suite 115",www.springboard.org
"Springfield Neighborhood Housing Services, Inc.",Loan Fund,N,Springfield,MA,01109--312,111 Wilbraham Road,www.springfieldnhs.org
"Spruce Root, Inc.",Loan Fund,Y,Juneau,AK,99801--124,1 Sealaska Plaza Suite 400,www.spruceroot.org
Strafford Economic Development Corporation,Loan Fund,N,Dover,NH,03820--383,"Suite 101, Cocheco Falls Millworks  100 Main Street",http://www.sedcnh.org
Suazo Business Center,Loan Fund,N,Salt Lake City,UT,84104,960 W 1700 S,www.suazocenter.org
Sustainable Communities Fund,Loan Fund,N,Los Angeles,CA,90024,1281 Westwood Blvd. Ste. 200,www.tscfund.org
Sustainable Neighborhoods LLC,Loan Fund,N,New York,NY,10004--200,"55 Broad Street, 10th Floor",http://cnycn.org/
Sykes Equity LLC d/b/a Private Leverage,Loan Fund,N,Houston,TX,77002,"2000 Crawford St, Suite 840",PrivateLeverage.com
Taala Fund,Loan Fund,Y,Taholah,WA,98587--070,P.O. Box 702,www.taalafund.org
"TCHFH Lending, Inc.",Loan Fund,N,St. Paul,MN,55104--342,1954 University Ave W,http://home.tchabitat.org/tchfh-lending-inc
Technical Assistance Corporation,Loan Fund,N,St Louis,MO,63103--183,1627 Washington Ave,www.risecdfi.org
Tennessee Rural Development Fund LLC,Loan Fund,N,Cookeville,TN,38501,"1227 N Washington Ave., Ste 107",www.tnrdf.com
Texas Community Capital,Loan Fund,N,Austin,TX,78702,"1910 E. MLK, Jr. Blvd.",tccapital.org
"Texas Mezzanine Fund, Inc.",Loan Fund,N,Dallas,TX,75203,320 S.  R.L. Thornton Freeway  Suite 110,www.tmfund.com
The Affordable Housing Trust for Columbus and Franklin County,Loan Fund,N,Columbus,OH,43215,"175 South Third Street
Suite 1250",http://www.hztrust.org
The Capital Good Fund,Loan Fund,N,Providence,RI,02908,333 Smith St,http://www.capitalgoodfund.org
"The Center for Rural Health Development, Inc.",Loan Fund,N,Hurricane,WV,25526--927,75 Chase Drive,www.wvruralhealth.org
"The Cherokee Nation d/b/a Cherokee Nation Economic Development Trust Authority, Inc",Loan Fund,Y,Tahlequah,OK,74465--166,Post Office Box 1669,Non given
"The Community Development Trust, Inc.",Loan Fund,N,New York,NY,10018--770,1350 Broadway  Suite 700,www.cdt.biz
"The Community Economic Development Fund Foundation, Inc.",Loan Fund,N,Meriden,CT,06450,965 East Main Street,www.cedf.com
"The Housing Fund, Inc.",Loan Fund,N,Madison,TN,37116,P.O. Box 657,http://www.thehousingfund.org
"The Housing Partnership Network, Inc.",Loan Fund,N,Boston,MA,02108--261,One Washington Mall   12th Floor,http://www.housingpartnership.net
"The Sunlight Loan Fund, LLC",Loan Fund,N,Minneapolis,MN,55419--207,5500 Nicollet Avenue #19590,wildflowerschools.org
The Urban Empowerment Fund,Loan Fund,N,New York,NY,10005--170,"80 Pine Street
9th floor",Not Available
"The Working World, Inc. dba Seed Commons",Loan Fund,N,New York,NY,10003,"228 Park Avenue S, Suite 65768",Non given
Thread Capital,Loan Fund,N,Raleigh,NC,27610--291,4021 Carya Drive,www.threadcap.org
Three Roots Capital,Loan Fund,N,Knoxville,TN,37934,12640 Kingston Pike,http://www.3rootscapital.org
Tigua Community Development Corporation,Loan Fund,Y,El Paso,TX,79907,9180 Socorro Road,Non given
Tiwa Lending Services,Loan Fund,Y,Isleta,NM,87022--076,P.O. Box 902,tiwalending.org
TMCCommunityCapital,Loan Fund,N,Oakland,CA,94612,"1611 Telegraph Ave, Suite 504",https://www.tmccommunitycapital.org
TREC Community Investors,Loan Fund,N,Dallas,TX,75201--701,3100 McKinnon Street  Suite 1150,http://www.recouncil.com
Trenton Business Assistance Corporation,Loan Fund,N,Mercerville,NJ,08619--163,3111 Quakerbridege Rd. - 2 floor,www.rbacloan.com
Tricolor Auto Acceptance,Loan Fund,N,Irving,TX,75039,"6021 Connection Drive, 4th Floor",Non given
Triple Bottom Line Foundation,Loan Fund,N,Lakewood,CO,80214,7400 W 14th Ave,www.tblfund.org
"TRP Lending, LLC",Loan Fund,N,Chicago,IL,60608--272,1805 S Paulina St.,http://fullcirclehomes.org
True Access Capital Corporation,Loan Fund,N,Wilmington,DE,19801--165,100 West 10th St.  Suite 300,http://www.trueaccescapital.org
"TruFund Financial Services, Inc.",Loan Fund,N,New York,NY,10018--232,"39 West 37th Street, 7th Floor",http://www.trufund.org
Tulsa Economic Development Corporation,Loan Fund,N,Tulsa,OK,74103--342,"125 W 3rd St, 2nd Fl",www.TEDCnet.com
Union County Economic Development Corporation,Loan Fund,N,Cranford,NJ,07016--293,75 Chestnut Street,http://www.ucedc.com
"UP Community Fund, LLC",Loan Fund,N,Charlotte,NC,28208,2320 West Morehead St.,www.upcommunityfund.com
UP Community Impact Fund Corp.,Loan Fund,N,Houston,TX,77011--136,"6501 Navigation Boulevard
     Suite E2",Non given
UPI LOAN FUND,Loan Fund,N,Phoenix,AZ,85034,"1301 East Washington Street, Suite 104",upiloanfund.us
UPPER MANHATTAN EMPOWERMENT ZONE DEVELOPMENT CORPORATION,Loan Fund,N,New York,NY,10027--499,"55 West 125th Street, 11th Floor",http://www.umez.org
Urban Strategies Inc,Loan Fund,N,Saint Louis,MO,63102,"100 N. Broadway
Suite 1110",www.usi-cdfi.org
Utah Microenterprise Loan Fund (UMLF),Loan Fund,N,Salt Lake City,UT,84115--493,154 East Ford Avenue #A,utahmicroloanfund.org
"Utica Industrial Development Corporation, Inc",Loan Fund,N,Rome,NY,13441,584 Phoenix Drive,Non given
"Utica Neighborhood Housing Services, Inc.",Loan Fund,N,Utica,NY,13501--473,1611 Genesee Street,http://www.thehomeownershipcenter.org
"Valley Economic Development Partners, Inc.",Loan Fund,N,Youngstown,OH,44505--100,4319 Belmont Ave.,www.valleyedp.com
Valley Small Business Development Corporation,Loan Fund,N,Fresno,CA,93711--076,7035 N. Fruit Avenue,http://VSBDC.com
Ventana Fund,Loan Fund,N,Albuquerque,NM,87125,P.O. Box 25483,www.ventanafund.org
Ventura County Community Development Corporation,Loan Fund,N,OXNARD,CA,93030,2231 Sturgis Road  Suite A,http://www.vccdc.org
Venture North Funding & Development,Loan Fund,N,Traverse City,MI,49684,202 E Grandview Parkway,www.venturenorthfunding.org
Ventures,Loan Fund,N,Seattle,WA,98144,"2100 24th Avenue S., Suite 380",www.venturesnonprofit.org
"Vermont Community Loan Fund, Inc.",Loan Fund,N,Montpelier,VT,05601--082,"7 School Street, PO Box 827",www.investinvermont.org
"Vermont-Slauson LDC, Inc.",Loan Fund,N,Los Angeles,CA,90044--371,1130 West Slauson Avenue,http://www.vsedc.org
Village Capital Corporation,Loan Fund,N,Cleveland,OH,44104--000,11327 Shaker Boulevard  Suite 500W,www.clevelandnp.org
"Virginia Community Development Fund, Inc., The",Loan Fund,N,Richmond,VA,23220--215,1840 West Broad Street  Suite 200,http://www.vacdc.org
Vital Healthcare Capital,Loan Fund,N,New York,NY,10004--278,"85 Broad Street, 18th Floor",www.VitalCap.org
VSJF Flexible Capital Fund L3C,Loan Fund,N,Montpelier,VT,05602--450,3 Pitkin Court  Suite 301E,www.flexiblecapitalfund.com
Washington Area Community Investment Fund,Loan Fund,N,Washington,DC,20018--283,2012 Rhode Island Ave NE,http://www.wacif.org
Washington Community Reinvestment Association,Loan Fund,N,Seattle,WA,98101--310,"1200 Fifth Avenue, Suite 1406",www.wcra.net
"West Central Development Corporation, dba Anchor Financial Services",Loan Fund,N,Perrysburg,OH,43551--526,955 Commerce Drive;  Suite A,www.anchorsba.com
"Western Reserve Community Fund, Inc",Loan Fund,N,Akron,OH,44308,"c/o Development Finance Authority of Summit County
One Cascade Plaza, Suite 1700",Non given
Westminster Economic Development Initiative Inc,Loan Fund,N,Buffalo,NY,14213--114,436 Grant St,http://www.wedibuffalo.org
White Earth Investment Initiative,Loan Fund,Y,Ogema,MN,56569--003,407 Main St. E.  P.O. Box 38,www.weii.website
"William Mann, Jr. Community Development Corporation",Loan Fund,N,Fort Worth,TX,76104,1150 South Freeway  Suite 118,www.wmcdc.com
Wind River Development Fund,Loan Fund,Y,Fort Washakie,WY,82514--066,P.O. Box 661,http://www.wrdf.org
"Wisconsin Native Loan Fund, Inc.",Loan Fund,Y,Lac du Flambeau,WI,54538--058,P.O. Box 580,www.winlf.org
Wisconsin Women's Business Initiative Corporation,Loan Fund,N,Milwaukee,WI,53212--391,1533 N RiverCenter Drive,www.wwbic.com
Women's Economic Self-Sufficiency Team,Loan Fund,N,Albuquerque,NM,87102--233,"609 Broadway, NE",http://www.wesst.org
Womens Economic Ventures,Loan Fund,N,Santa Barbara,CA,93101--720,"21 E. Canon Perdido, Suite 301",http://www.wevonline.org
Women's Opportunities Resource Center,Loan Fund,N,Philadelphia,PA,19103,2010 Chestnut Street,http://worc-pa.org
"Women's Venture Fund, Inc.",Loan Fund,N,New York,NY,10010,"902 Broadway, 6 Fl",www.womensventurefund.org
Womenventure,Loan Fund,N,SAINT PAUL,MN,55102--461,165 WESTERN AVE N STE 8,http://womenventure.org
Woodland Financial Partners Inc,Loan Fund,Y,Keshena,WI,54135--999,N559 Library Road  P.O. Box 790,www.woodlandfinancial.org
Woodlands Community Lenders,Loan Fund,N,Elkins,WV,26241,"316 Railroad Avenue
Suite 310",http://www.woodlandswv.org
"Worcester Community Housing Resources, Inc.",Loan Fund,N,Worcester,MA,01609--322,"11 Pleasant Street, Suite 300",http://www.wchr.org
Working Solutions CDFI,Loan Fund,N,San Francisco,CA,94102,"870 Market Street, Suite 677",http://www.workingsolutions.org
